2024-06-18 19:23:15, CPU Usage: 0.3%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321176, Bytes Received: 137625838
2024-06-18 19:23:16, CPU Usage: 0.6%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321346, Bytes Received: 137625838
2024-06-18 19:23:17, CPU Usage: 0.5%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321542, Bytes Received: 137626010
2024-06-18 19:23:18, CPU Usage: 0.2%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321712, Bytes Received: 137626160
2024-06-18 19:23:19, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321882, Bytes Received: 137626160
2024-06-18 19:23:20, CPU Usage: 0.3%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15321882, Bytes Received: 137626160
2024-06-18 19:23:21, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322168, Bytes Received: 137626680
2024-06-18 19:23:22, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322338, Bytes Received: 137626680
2024-06-18 19:23:23, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322470, Bytes Received: 137627021
2024-06-18 19:23:24, CPU Usage: 0.1%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322640, Bytes Received: 137627171
2024-06-18 19:23:26, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322810, Bytes Received: 137627171
2024-06-18 19:23:27, CPU Usage: 0.5%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322810, Bytes Received: 137627171
2024-06-18 19:23:28, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15322980, Bytes Received: 137627321
2024-06-18 19:23:29, CPU Usage: 0.5%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15323150, Bytes Received: 137627321
2024-06-18 19:23:30, CPU Usage: 0.4%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15323150, Bytes Received: 137627321
2024-06-18 19:23:31, CPU Usage: 0.2%, Memory Usage: 36.1%, Disk Usage: 38.5%, Bytes Sent: 15323320, Bytes Received: 137627471
